city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa (R$),populacao_estimada,rent amount (R$)
São Paulo,70,2,1,1,7,1,1,2065,11904961,3300
São Paulo,320,4,4,0,20,1,0,1200,11904961,4960
Porto Alegre,80,1,1,1,6,1,0,1000,1388794,2800
Porto Alegre,51,2,1,0,2,1,0,270,1388794,1112
São Paulo,25,1,1,0,1,0,0,0,11904961,800
São Paulo,376,3,3,7,0,1,0,0,11904961,8000
Rio de Janeiro,72,2,1,0,7,1,0,740,6730729,1900
São Paulo,213,4,4,4,4,1,0,2254,11904961,3223
São Paulo,152,2,2,1,3,1,1,1000,11904961,15000
Rio de Janeiro,35,1,1,0,2,1,1,590,6730729,2300
São Paulo,26,1,1,0,2,1,1,470,11904961,2100
Campinas,46,1,1,1,10,1,0,550,1187974,580
São Paulo,36,1,1,0,11,1,0,359,11904961,2100
São Paulo,55,1,1,1,2,1,1,790,11904961,4200
São Paulo,100,2,2,2,24,1,1,900,11904961,4370
Campinas,330,4,6,6,0,1,1,680,1187974,8000
São Paulo,110,2,2,1,1,1,0,700,11904961,3000
Rio de Janeiro,88,2,3,1,9,0,1,1614,6730729,3500
Rio de Janeiro,56,2,1,0,8,1,0,800,6730729,1220
São Paulo,600,4,5,6,0,1,0,0,11904961,12000
São Paulo,100,7,4,0,0,1,0,0,11904961,3800
Belo Horizonte,42,1,1,1,17,0,1,470,2415872,2690
São Paulo,160,3,2,2,18,1,1,1530,11904961,1900
São Paulo,35,1,1,0,0,1,0,0,11904961,1100
Rio de Janeiro,90,3,2,1,7,1,0,800,6730729,1800
São Paulo,49,1,1,1,10,1,0,480,11904961,3500
São Paulo,41,1,1,1,5,0,1,600,11904961,3000
Belo Horizonte,64,2,2,1,11,1,0,352,2415872,1500
Campinas,208,3,2,4,0,1,0,0,1187974,3180
São Paulo,20,1,1,0,5,1,1,602,11904961,1800
São Paulo,55,2,2,2,6,1,0,780,11904961,1068
São Paulo,32,1,1,0,3,1,0,515,11904961,1700
São Paulo,80,2,2,1,11,1,0,1208,11904961,2550
Rio de Janeiro,45,1,1,1,10,1,1,2450,6730729,2500
São Paulo,350,4,4,3,8,1,0,2100,11904961,4000
Porto Alegre,38,1,1,2,11,0,0,450,1388794,1750
São Paulo,30,1,1,0,1,1,0,460,11904961,1600
Belo Horizonte,80,3,2,1,0,1,0,0,2415872,11000
São Paulo,70,2,1,0,0,0,0,0,11904961,1150
Porto Alegre,40,1,1,1,6,1,1,390,1388794,2990
São Paulo,300,4,6,4,20,1,0,3700,11904961,12000
São Paulo,240,3,2,3,0,1,0,0,11904961,3500
Belo Horizonte,200,4,2,1,7,0,0,850,2415872,2550
Belo Horizonte,45,1,1,1,5,1,0,500,2415872,1631
São Paulo,360,4,5,0,1,1,0,4000,11904961,6410
São Paulo,40,1,1,1,10,1,1,978,11904961,2829
Belo Horizonte,100,3,1,0,13,0,0,700,2415872,1220
Porto Alegre,42,1,1,2,2,1,1,190,1388794,1770
Campinas,250,3,3,2,1,1,0,2200,1187974,1700
Campinas,48,1,1,1,2,1,1,505,1187974,1600
Rio de Janeiro,90,3,3,1,10,1,0,1250,6730729,3800
São Paulo,45,1,2,1,15,1,1,856,11904961,3900
Rio de Janeiro,150,2,3,4,6,1,0,1700,6730729,4000
São Paulo,60,2,1,0,2,1,0,200,11904961,1445
São Paulo,31,1,1,0,4,1,0,370,11904961,2350
São Paulo,210,4,5,4,4,0,0,1650,11904961,9000
São Paulo,280,3,1,2,0,1,0,0,11904961,6000
Campinas,93,2,3,2,9,1,0,663,1187974,5500
Porto Alegre,75,3,2,1,9,1,0,340,1388794,1800
São Paulo,194,3,4,3,0,1,0,0,11904961,4000
São Paulo,41,1,1,1,6,1,1,523,11904961,4000
Rio de Janeiro,65,1,1,1,8,1,1,2000,6730729,5100
São Paulo,70,2,1,1,13,1,0,761,11904961,2150
São Paulo,278,4,5,2,16,1,1,4052,11904961,9000
Rio de Janeiro,35,1,1,0,5,1,0,306,6730729,1521
Campinas,300,4,4,3,2,1,0,2300,1187974,6000
São Paulo,61,2,1,1,4,1,0,459,11904961,1850
Rio de Janeiro,130,3,2,1,7,1,0,1660,6730729,1700
Rio de Janeiro,80,2,1,1,20,1,0,500,6730729,900
São Paulo,164,4,4,2,6,0,0,2159,11904961,5000
Belo Horizonte,220,4,2,3,3,1,0,450,2415872,2422
São Paulo,45,1,1,0,0,1,0,0,11904961,1050
São Paulo,108,3,2,2,7,1,0,1290,11904961,5600
Belo Horizonte,128,1,1,0,4,1,1,418,2415872,2100
Rio de Janeiro,60,1,1,0,10,0,0,450,6730729,1800
São Paulo,250,4,5,4,6,1,0,2050,11904961,9800
Porto Alegre,47,1,1,1,1,0,1,400,1388794,2200
Belo Horizonte,170,4,3,4,9,0,0,744,2415872,2700
São Paulo,45,1,1,0,1,0,0,300,11904961,1240
São Paulo,42,1,1,1,15,1,0,686,11904961,3500
São Paulo,164,4,4,3,1,1,0,1840,11904961,6000
São Paulo,70,3,1,1,1,1,0,700,11904961,1020
Porto Alegre,100,4,3,1,8,1,0,600,1388794,2200
São Paulo,64,2,2,2,4,1,1,1300,11904961,4500
Belo Horizonte,68,2,1,1,3,1,0,320,2415872,1200
Belo Horizonte,75,2,2,2,14,0,0,620,2415872,2500
São Paulo,600,4,4,4,9,1,0,7400,11904961,8500
São Paulo,63,2,2,0,15,0,0,590,11904961,1550
São Paulo,145,3,4,3,1,0,0,1200,11904961,6000
São Paulo,85,2,2,2,3,0,0,1500,11904961,2800
São Paulo,254,4,4,4,7,1,0,3366,11904961,9000
Porto Alegre,350,4,4,4,0,1,1,1,1388794,9000
São Paulo,300,4,4,3,0,1,0,0,11904961,3500
Belo Horizonte,296,4,3,2,0,1,0,0,2415872,13500
São Paulo,64,2,2,2,8,1,0,450,11904961,2800
São Paulo,133,3,2,0,6,1,0,813,11904961,2957
Campinas,44,1,1,0,7,1,0,350,1187974,550
Campinas,240,3,4,2,0,1,0,0,1187974,3000
Porto Alegre,70,3,2,1,4,1,0,490,1388794,2500
São Paulo,22,1,1,0,26,1,0,302,11904961,2050
Porto Alegre,50,1,1,1,1,1,0,350,1388794,950
Porto Alegre,67,3,2,2,4,1,0,600,1388794,2200
São Paulo,31,1,1,0,6,1,1,430,11904961,2300
Rio de Janeiro,90,2,1,1,1,1,1,850,6730729,3468
Rio de Janeiro,109,3,3,1,1,1,0,2000,6730729,3800
Belo Horizonte,400,4,2,2,0,0,0,0,2415872,2500
São Paulo,300,4,5,4,0,1,1,0,11904961,14000
Campinas,284,4,3,3,4,1,0,2340,1187974,6000
Porto Alegre,70,2,1,1,3,1,1,360,1388794,2400
Rio de Janeiro,309,4,5,4,7,1,0,2661,6730729,6500
São Paulo,70,2,1,0,0,1,0,0,11904961,2100
São Paulo,360,3,4,1,10,1,0,2300,11904961,10000
São Paulo,30,1,1,1,10,0,0,886,11904961,1500
Campinas,80,2,2,2,11,1,0,832,1187974,2200
Belo Horizonte,133,4,4,3,6,0,0,1500,2415872,7000
São Paulo,38,1,1,1,14,0,1,1620,11904961,2800
São Paulo,73,2,2,1,7,1,0,1100,11904961,3500
São Paulo,155,3,4,2,4,1,0,1500,11904961,2000
São Paulo,63,2,2,1,15,1,0,357,11904961,3200
São Paulo,58,2,1,1,1,1,0,0,11904961,1400
São Paulo,48,1,1,0,9,0,1,377,11904961,3450
São Paulo,210,3,4,3,7,1,0,1700,11904961,2790
Belo Horizonte,100,3,2,2,2,1,0,340,2415872,1600
São Paulo,94,3,2,2,1,1,0,1337,11904961,3570
São Paulo,94,3,3,2,3,1,1,1220,11904961,5010
São Paulo,76,3,1,1,4,1,0,1200,11904961,2500
São Paulo,192,3,3,2,13,1,0,2100,11904961,7800
São Paulo,217,3,4,3,1,1,0,2884,11904961,6500
São Paulo,68,2,1,1,5,1,0,610,11904961,1400
São Paulo,110,3,2,2,2,1,0,1145,11904961,2400
Belo Horizonte,95,2,2,1,3,1,0,660,2415872,1600
São Paulo,900,4,6,8,0,1,0,0,11904961,15000
São Paulo,34,1,1,0,5,0,0,347,11904961,1200
São Paulo,192,3,4,3,5,1,0,2000,11904961,8000
Porto Alegre,62,2,2,1,9,1,0,350,1388794,1800
São Paulo,180,3,3,4,0,1,0,0,11904961,3700
Campinas,44,1,1,0,3,1,1,350,1187974,916
Belo Horizonte,100,2,1,1,1,0,0,250,2415872,1700
Rio de Janeiro,140,3,3,1,24,0,0,900,6730729,1370
São Paulo,170,3,3,3,8,1,1,1570,11904961,2800
São Paulo,100,3,2,2,0,0,0,0,11904961,1600
São Paulo,75,3,2,2,4,1,0,652,11904961,1600
Rio de Janeiro,52,2,1,0,2,1,0,200,6730729,1200
Campinas,999,5,7,8,0,1,0,0,1187974,14000
São Paulo,270,4,4,4,8,1,0,2200,11904961,7000
Belo Horizonte,50,2,1,1,1,1,0,160,2415872,930
Campinas,200,3,3,2,0,1,0,650,1187974,2210
São Paulo,71,2,2,0,16,1,0,430,11904961,1920
São Paulo,500,5,4,6,0,1,0,0,11904961,13000
São Paulo,60,2,1,0,0,1,0,0,11904961,1080
São Paulo,110,2,1,0,8,1,0,1100,11904961,1300
São Paulo,210,3,3,4,0,1,0,0,11904961,3294
São Paulo,220,3,4,3,8,1,0,2021,11904961,6000
Belo Horizonte,200,3,2,5,0,0,0,0,2415872,4000
São Paulo,130,3,4,3,2,1,0,2300,11904961,4250
São Paulo,65,2,2,2,7,1,1,1037,11904961,4000
São Paulo,96,3,2,2,17,1,0,804,11904961,3200
São Paulo,660,4,5,5,12,1,1,4800,11904961,20000
Rio de Janeiro,107,3,2,0,7,1,1,1460,6730729,3200
Rio de Janeiro,105,3,2,0,1,1,0,740,6730729,2200
Rio de Janeiro,100,3,2,0,7,1,0,900,6730729,3290
São Paulo,287,3,4,4,0,1,1,0,11904961,9000
Campinas,24,1,1,0,1,0,1,230,1187974,1180
São Paulo,22,1,1,0,0,0,0,0,11904961,976
São Paulo,70,1,1,1,0,0,0,0,11904961,2529
Porto Alegre,44,1,1,1,2,1,1,250,1388794,1500
São Paulo,150,3,2,2,0,0,0,0,11904961,2500
São Paulo,90,1,2,2,9,1,1,998,11904961,2900
São Paulo,200,4,4,2,8,1,1,3000,11904961,2800
São Paulo,320,8,4,0,0,1,0,450,11904961,10500
Porto Alegre,90,2,1,1,2,0,0,550,1388794,1700
São Paulo,240,4,4,3,9,1,0,2500,11904961,2144
São Paulo,154,4,3,3,21,1,0,1684,11904961,7000
São Paulo,60,2,2,2,2,1,0,2340,11904961,3230
Campinas,101,3,2,0,5,1,0,780,1187974,2380
Porto Alegre,140,3,4,2,0,0,0,0,1388794,3090
São Paulo,500,4,5,8,0,1,0,0,11904961,15000
São Paulo,110,3,3,3,4,1,0,1195,11904961,2350
São Paulo,110,3,3,2,0,1,0,0,11904961,4800
Belo Horizonte,90,2,2,2,3,1,0,200,2415872,2000
São Paulo,384,4,6,4,3,0,1,3500,11904961,15000
São Paulo,57,2,1,1,7,1,0,570,11904961,1500
São Paulo,160,3,3,2,5,1,1,1650,11904961,1500
São Paulo,39,1,1,0,8,1,0,330,11904961,1250
Campinas,78,1,2,1,4,1,0,0,1187974,2290
Porto Alegre,36,1,1,1,0,1,0,0,1388794,762
Campinas,70,2,1,1,1,1,0,558,1187974,1200
Belo Horizonte,45,1,1,1,4,0,1,300,2415872,3200
São Paulo,200,3,4,3,1,1,0,3500,11904961,8500
São Paulo,100,3,3,3,0,1,0,0,11904961,4300
São Paulo,42,1,1,1,14,0,0,0,11904961,5000
São Paulo,280,4,4,1,1,1,1,3000,11904961,8000
São Paulo,28,1,1,1,13,0,1,615,11904961,2800
São Paulo,30,1,1,0,0,0,1,296,11904961,1826
Belo Horizonte,85,3,2,1,1,1,0,337,2415872,1500
Campinas,83,1,1,1,4,0,0,500,1187974,1080
Campinas,85,3,2,2,16,1,1,550,1187974,3300
Belo Horizonte,90,3,2,2,3,1,0,325,2415872,1600
Belo Horizonte,50,2,1,0,5,1,0,0,2415872,900
Rio de Janeiro,50,1,1,0,8,1,0,600,6730729,2900
Belo Horizonte,300,3,2,3,0,0,0,0,2415872,6700
Porto Alegre,39,1,1,0,7,1,0,350,1388794,850
São Paulo,750,4,4,6,0,1,0,0,11904961,15000
Porto Alegre,60,2,1,0,1,1,0,222,1388794,1100
Rio de Janeiro,68,2,1,0,4,0,0,750,6730729,1250
São Paulo,70,2,1,1,0,1,0,230,11904961,1250
São Paulo,90,2,2,1,6,1,1,900,11904961,6500
Rio de Janeiro,258,5,6,0,0,1,0,0,6730729,8700
São Paulo,200,2,2,6,0,1,0,0,11904961,4500
São Paulo,123,2,2,2,6,1,0,1800,11904961,2990
São Paulo,127,3,2,2,0,1,1,220,11904961,2150
Belo Horizonte,180,4,2,2,0,1,0,0,2415872,1800
São Paulo,110,3,2,0,0,0,0,0,11904961,2900
Rio de Janeiro,70,2,2,1,7,1,1,585,6730729,1719
São Paulo,35,1,1,1,8,1,1,720,11904961,3000
São Paulo,219,3,2,2,0,1,0,0,11904961,2900
Rio de Janeiro,25,1,1,0,0,1,0,50,6730729,700
Rio de Janeiro,170,4,5,0,10,1,0,1200,6730729,7100
Rio de Janeiro,45,1,1,0,8,1,0,900,6730729,1570
Belo Horizonte,420,4,4,2,0,0,0,0,2415872,7000
Porto Alegre,46,1,1,0,4,1,0,0,1388794,1040
São Paulo,145,3,3,2,1,1,1,1088,11904961,5800
Belo Horizonte,59,2,2,1,2,1,0,190,2415872,1100
Belo Horizonte,225,4,3,0,8,1,0,1850,2415872,7500
São Paulo,210,4,4,3,3,1,0,2270,11904961,4675
Porto Alegre,76,1,1,0,0,1,0,209,1388794,1249
São Paulo,220,3,4,3,2,0,0,2500,11904961,5150
São Paulo,109,3,2,2,7,1,0,1746,11904961,2500
Belo Horizonte,95,2,1,1,3,1,0,646,2415872,1000
São Paulo,32,1,1,0,0,0,0,280,11904961,1500
São Paulo,480,4,6,5,9,1,0,6660,11904961,15000
São Paulo,53,1,1,1,3,1,0,694,11904961,4390
São Paulo,40,1,1,0,0,0,0,0,11904961,780
São Paulo,50,1,1,1,4,1,1,500,11904961,3223
São Paulo,60,1,1,0,0,1,0,0,11904961,1300
Porto Alegre,64,2,2,2,7,0,0,450,1388794,1500
Rio de Janeiro,140,3,3,2,4,1,1,2280,6730729,12000
São Paulo,121,3,3,1,12,1,0,800,11904961,2040
Campinas,43,1,1,1,4,1,1,498,1187974,2100
São Paulo,20,1,1,1,3,0,1,1700,11904961,1360
Campinas,58,2,1,1,3,1,0,289,1187974,950
Belo Horizonte,570,5,6,7,0,1,1,0,2415872,8330
São Paulo,88,2,1,1,2,1,0,980,11904961,2790
São Paulo,89,3,2,2,19,1,0,900,11904961,6000
São Paulo,40,1,1,0,0,1,0,0,11904961,1100
Rio de Janeiro,40,1,1,0,1,1,1,386,6730729,1950
Rio de Janeiro,60,1,2,1,3,1,0,400,6730729,750
São Paulo,25,1,1,0,14,1,0,257,11904961,1650
Porto Alegre,50,2,1,0,13,1,0,340,1388794,1130
Porto Alegre,90,3,1,0,1,1,0,145,1388794,1130
São Paulo,173,3,3,3,2,1,0,3000,11904961,2000
Campinas,91,3,2,2,12,1,0,700,1187974,2250
São Paulo,90,3,2,2,6,0,0,1710,11904961,1200
São Paulo,530,5,6,4,2,1,1,8300,11904961,15000
Belo Horizonte,155,1,4,0,4,0,0,1117000,2415872,2790
São Paulo,40,1,1,0,0,0,0,0,11904961,1300
São Paulo,296,4,5,3,3,1,0,0,11904961,15000
São Paulo,87,3,2,1,17,1,0,850,11904961,1400
São Paulo,300,3,3,5,0,1,0,0,11904961,5000
São Paulo,136,3,3,3,13,1,0,1430,11904961,4206
São Paulo,52,2,1,0,4,1,0,0,11904961,1340
Porto Alegre,94,2,2,2,8,1,0,600,1388794,2900
Rio de Janeiro,300,4,5,3,7,1,0,3850,6730729,12750
Rio de Janeiro,100,3,3,1,3,1,0,850,6730729,3229
São Paulo,500,4,6,3,0,1,0,6466,11904961,7300
São Paulo,240,3,4,3,3,1,1,3600,11904961,4950
Belo Horizonte,308,2,3,3,0,1,0,0,2415872,2000
São Paulo,350,4,5,4,15,1,1,2700,11904961,4590
São Paulo,75,2,2,0,2,1,0,570,11904961,1450
São Paulo,155,3,2,3,4,1,1,2600,11904961,11700
São Paulo,260,3,5,4,12,1,0,2227,11904961,6000
São Paulo,80,2,2,1,0,0,0,0,11904961,1500
Rio de Janeiro,85,3,1,1,6,1,0,810,6730729,1998
